timestamp,zone_id,time_of_day,current_count,flow_rate,average_velocity,occupancy_after_5_min
2026-01-01 06:00:00,Open Arena,6.0,192,1.89,1.32,201
2026-01-01 06:01:00,Open Arena,6.02,218,4.13,1.38,236
2026-01-01 06:02:00,Hall 1,6.03,194,-0.01,1.54,219
2026-01-01 06:03:00,Open Arena,6.05,216,22.11,1.38,314
2026-01-01 06:04:00,Hall 3,6.07,205,6.02,1.4,241
2026-01-01 06:05:00,Hall 2,6.08,252,-0.01,1.5,228
2026-01-01 06:06:00,Hall 2,6.1,176,8.65,1.41,232
2026-01-01 06:07:00,Open Arena,6.12,279,4.88,1.58,338
2026-01-01 06:08:00,Hall 1,6.13,209,-8.91,1.47,150
2026-01-01 06:09:00,Open Arena,6.15,222,18.05,1.3,293
2026-01-01 06:10:00,Open Arena,6.17,174,3.03,1.53,193
2026-01-01 06:11:00,Hall 1,6.18,232,-3.6,1.42,216
2026-01-01 06:12:00,Hall 2,6.2,181,2.76,1.23,196
2026-01-01 06:13:00,Hall 1,6.22,199,6.66,1.52,231
2026-01-01 06:14:00,Hall 3,6.23,242,-1.74,1.55,238
2026-01-01 06:15:00,Hall 3,6.25,275,12.79,1.42,353
2026-01-01 06:16:00,Hall 3,6.27,280,24.95,1.47,413
2026-01-01 06:17:00,Hall 2,6.28,287,1.04,1.46,286
2026-01-01 06:18:00,Open Arena,6.3,252,-3.37,1.41,231
2026-01-01 06:19:00,Open Arena,6.32,262,10.82,1.45,342
2026-01-01 06:20:00,Hall 2,6.33,209,23.7,1.38,342
2026-01-01 06:21:00,Hall 2,6.35,296,14.55,1.46,377
2026-01-01 06:22:00,Hall 2,6.37,337,14.54,1.55,406
2026-01-01 06:23:00,Open Arena,6.38,316,-7.45,1.37,278
2026-01-01 06:24:00,Hall 2,6.4,257,0.36,1.44,238
2026-01-01 06:25:00,Hall 2,6.42,353,15.6,1.44,444
2026-01-01 06:26:00,Hall 3,6.43,362,-12.88,1.41,299
2026-01-01 06:27:00,Hall 3,6.45,357,18.58,1.6,465
2026-01-01 06:28:00,Hall 3,6.47,182,-6.38,1.35,147
2026-01-01 06:29:00,Hall 3,6.48,172,19.02,1.38,262
2026-01-01 06:30:00,Hall 3,6.5,291,-10.96,1.48,216
2026-01-01 06:31:00,Hall 1,6.52,327,23.33,1.4,419
2026-01-01 06:32:00,Hall 1,6.53,337,-18.82,1.35,254
2026-01-01 06:33:00,Hall 2,6.55,316,-4.05,1.37,305
2026-01-01 06:34:00,Hall 3,6.57,327,10.5,1.33,374
2026-01-01 06:35:00,Hall 2,6.58,353,-1.67,1.52,352
2026-01-01 06:36:00,Hall 1,6.6,290,1.36,1.6,321
2026-01-01 06:37:00,Open Arena,6.62,324,1.31,1.53,324
2026-01-01 06:38:00,Open Arena,6.63,316,-4.71,1.44,310
2026-01-01 06:39:00,Open Arena,6.65,399,12.26,1.47,478
